Year,Month,Day,Hour,PM2_5(ug/m3),Ozone(ppbv),Temperature(K),Spec. humidity (g/kg),RH (%),U-wind (m/s),V-wind (m/s),Sur_Pressure (hPa)
2017,1,7,1,22.8,20.53,291.26,11.39,87.03,0.36,-0.74,1002.48
2017,1,7,2,23.63,21.08,291.52,11.46,85.89,0.16,-0.06,999.72
2017,1,7,3,24.48,23.17,292.02,11.51,83.64,0.04,0.52,999.94
2017,1,7,4,27.34,25.98,292.33,11.55,82.27,0.03,0.96,998.96
2017,1,7,5,31.15,29.18,292.62,11.58,81.02,0.18,1.39,998.72
2017,1,7,6,34.69,31.7,292.83,11.62,80.26,0.37,1.82,998.28
2017,1,7,7,36.62,32.66,292.91,11.65,80.07,0.51,2.18,998.04
2017,1,7,8,37.58,31.54,292.81,11.67,80.77,0.57,2.26,998.22
2017,1,7,9,39.47,27.41,292.52,11.7,82.38,0.59,2.06,998.44
2017,1,7,10,40.42,22.95,292.14,11.67,84.14,0.63,1.68,998.75
2017,1,7,11,44.33,17.28,291.86,11.66,85.5,0.64,1,999.02
2017,1,7,12,45.71,15.91,291.73,11.61,85.91,0.73,0.16,999.27
2017,1,7,13,45.16,13.68,291.64,11.55,85.87,0.85,-0.75,999.28
2017,1,7,14,46.06,11.2,291.55,11.44,85.5,1.04,-1.53,999.02
2017,1,7,15,43.16,11.89,291.46,11.31,84.99,1.3,-2.11,998.84
2017,1,7,16,38.9,13.39,291.35,11.17,84.54,1.58,-2.59,998.7
2017,1,7,17,34.03,15.25,291.17,11.02,84.41,1.89,-3.02,998.59
2017,1,7,18,28.99,16.59,290.95,10.86,84.37,2.18,-3.37,998.48
2017,1,7,19,25.3,17.5,290.78,10.7,84.03,2.31,-3.72,998.47
2017,1,7,20,21.92,18.51,290.67,10.56,83.52,2.18,-4.31,998.85
2017,1,7,21,18.6,19.31,290.5,10.42,83.3,1.99,-5.03,999.18
2017,1,7,22,16.08,19.36,290.26,10.26,83.35,1.8,-5.95,999.49
2017,1,7,23,16.54,19.23,290.03,10.11,83.42,1.64,-6.63,999.81
2017,1,7,24,18.91,21.2,290.13,10.1,82.79,1,-6.25,1000.08
2017,1,8,1,23.9,30.22,291.75,10.93,80.83,0.19,-4.59,1000.05
2017,1,8,2,29.13,42.2,292.61,10.85,75.92,-0.91,-4.5,999.88
2017,1,8,3,33.71,57.7,293.48,10.76,71.36,-1.69,-4.26,999.45
2017,1,8,4,39.11,70.66,294.03,10.75,68.95,-2.85,-3.67,999.17
2017,1,8,5,44.61,78.75,294.18,10.82,68.84,-3.91,-2.82,998.7
2017,1,8,6,47.91,82.66,294.08,10.9,69.98,-4.87,-1.87,998.34
2017,1,8,7,48.82,82.69,293.58,11.05,73.14,-5.63,-1.15,998.35
2017,1,8,8,45.56,79.51,292.89,11.16,77.03,-6.19,-1.04,998.61
2017,1,8,9,43.98,74.02,292.04,11.22,81.49,-6.2,-1.22,998.97
2017,1,8,10,46.83,62.09,291.21,11.19,85.57,-5.82,-1.58,999.39
2017,1,8,11,49.53,54.03,290.62,11.15,88.49,-5.17,-2.38,999.81
2017,1,8,12,52.01,48.45,290.26,11.1,90.18,-4.69,-3.17,1000.08
2017,1,8,13,51.67,46.36,290.08,11.05,90.8,-4.44,-3.9,1000.26
2017,1,8,14,50.08,43.52,289.93,10.87,90.15,-4.2,-4.21,1000.58
2017,1,8,15,49.84,37.26,289.8,10.66,89.21,-4.07,-4.32,1000.98
2017,1,8,16,50.11,31.2,289.67,10.45,88.21,-4.03,-4.56,1001.42
2017,1,8,17,50.22,27.54,289.5,10.22,87.3,-4.07,-4.96,1001.85
2017,1,8,18,49.99,27.22,289.28,9.98,86.47,-4.22,-5.64,1002.26
2017,1,8,19,50.54,27.19,288.99,9.77,86.3,-4.32,-6.12,1002.65
2017,1,8,20,52.3,27.54,288.76,9.6,86.03,-4.52,-6.42,1003.16
2017,1,8,21,54.44,28.25,288.51,9.42,85.85,-4.59,-6.65,1003.6
2017,1,8,22,57.2,28.59,288.29,9.24,85.5,-4.46,-6.79,1003.99
2017,1,8,23,61.17,27.2,288.1,9.11,85.28,-4.37,-6.8,1004.38
2017,1,8,24,64.63,26.99,288.3,9.16,84.71,-4.6,-6,1004.7
2017,1,9,1,63.57,30.97,289.98,9.44,78.66,-3.97,-4.17,1007.7
2017,1,9,2,64.38,36.26,289.87,9.31,77.82,-5,-4.56,1003.97
2017,1,9,3,66.54,44,290.13,9.29,76.43,-5.7,-4.39,1004.64
2017,1,9,4,71.12,51.77,290.17,9.36,76.76,-6,-4.17,1003.67
2017,1,9,5,76.89,57.26,290.04,9.41,77.81,-6.52,-3.98,1003.49
2017,1,9,6,79.49,59.04,289.79,9.4,78.98,-7.14,-3.84,1003.19
2017,1,9,7,80.24,56.51,289.45,9.35,80.29,-7.64,-3.87,1003.15
2017,1,9,8,77.21,50.86,289.05,9.26,81.57,-7.91,-4.06,1003.4
2017,1,9,9,72.12,44.9,288.66,9.13,82.56,-7.94,-4.33,1003.59
2017,1,9,10,66.91,40.16,288.29,8.97,83.12,-7.86,-4.64,1003.94
2017,1,9,11,61.87,38.53,287.93,8.82,83.7,-7.75,-4.96,1004.23
2017,1,9,12,59.06,36.69,287.48,8.72,85.21,-7.65,-5.32,1004.47
2017,1,9,13,54.55,37.38,287.08,8.62,86.42,-7.46,-5.9,1004.68
2017,1,9,14,48.81,38.06,286.78,8.5,86.93,-6.99,-6.26,1004.78
2017,1,9,15,44.4,38.17,286.54,8.37,86.98,-6.59,-6.55,1005.11
2017,1,9,16,42.21,38.56,286.33,8.25,86.97,-6.22,-6.83,1005.43
2017,1,9,17,40.99,38.36,286.17,8.16,86.91,-5.98,-7.01,1005.73
2017,1,9,18,40.66,37.38,286.02,8.06,86.77,-5.73,-7.2,1006.04
2017,1,9,19,40.92,36.14,285.88,7.96,86.5,-5.56,-7.34,1006.28
2017,1,9,20,41.48,34.57,285.77,7.87,86.14,-5.56,-7.51,1006.65
2017,1,9,21,42.1,32.91,285.66,7.78,85.73,-5.56,-7.62,1006.97
2017,1,9,22,43.69,31.23,285.56,7.69,85.41,-5.66,-7.68,1007.21
2017,1,9,23,46.91,28.97,285.45,7.61,85.14,-5.69,-7.7,1007.48
2017,1,9,24,51.24,27.86,285.66,7.59,83.8,-5.19,-6.9,1007.72
2017,1,10,1,49.94,33.48,287.41,7.79,76.92,-2.82,-5.51,1011.1
2017,1,10,2,49.74,38.75,287.7,7.83,75.49,-4.24,-5.12,1005.95
2017,1,10,3,48.74,45.77,288.54,7.93,72.41,-5.18,-4.45,1006.6
2017,1,10,4,47.74,52.11,289.23,8.08,70.6,-5.74,-3.94,1006.21
2017,1,10,5,48.41,57.23,289.79,8.28,69.76,-6.16,-3.34,1005.74
2017,1,10,6,49.26,61.17,290.13,8.47,69.84,-6.63,-2.79,1005.25
2017,1,10,7,50.24,62.28,290.11,8.62,71.14,-7.1,-2.53,1005.19
2017,1,10,8,49.06,59.23,289.72,8.69,73.53,-7.36,-2.87,1005.55
2017,1,10,9,46.87,51.53,289.05,8.69,76.7,-7.32,-3.54,1005.92
2017,1,10,10,47.43,40.05,288.2,8.62,80.47,-7.18,-4.23,1006.4
2017,1,10,11,47.21,34.21,287.5,8.56,83.61,-7.16,-5.24,1006.85
2017,1,10,12,46.15,31.41,286.98,8.48,85.86,-6.97,-6.17,1007.22
2017,1,10,13,43.46,31.99,286.54,8.37,87.21,-6.57,-6.83,1007.55
2017,1,10,14,40.45,33.64,286.23,8.26,87.78,-6.14,-7.11,1007.43
2017,1,10,15,38.18,33.7,286.01,8.15,87.92,-5.81,-7.27,1007.46
2017,1,10,16,35.2,33.65,285.86,8.05,87.67,-5.59,-7.4,1007.48
2017,1,10,17,31.73,33.46,285.75,7.94,87.16,-5.4,-7.57,1007.54
2017,1,10,18,27.9,33.56,285.64,7.83,86.52,-5.2,-7.74,1007.59
2017,1,10,19,24.47,34,285.55,7.73,85.99,-5.04,-7.93,1007.53
2017,1,10,20,21.36,34.63,285.53,7.67,85.46,-5.02,-8.2,1007.84
2017,1,10,21,18.95,34.95,285.52,7.63,85.1,-4.96,-8.49,1008.02
2017,1,10,22,17.67,34.88,285.57,7.61,84.55,-4.84,-8.77,1008.19
2017,1,10,23,17.93,34.07,285.67,7.59,83.79,-4.77,-9.05,1008.34
2017,1,10,24,18.3,34.26,286.2,7.66,81.61,-4.78,-8.66,1008.45
2017,1,11,1,18.62,39.11,288.34,8.19,76.13,-4.43,-7.82,1010.95
2017,1,11,2,20.9,41.11,288.27,8.05,74.87,-5.83,-8,1007.13
2017,1,11,3,23.44,44.28,288.73,8.08,73.03,-6.61,-7.56,1008.17
2017,1,11,4,26.75,48.3,289.18,8.21,71.97,-6.62,-7.11,1006.91
2017,1,11,5,29.61,52.12,289.74,8.35,70.59,-6.6,-6.46,1006.52
2017,1,11,6,31.11,54.12,290.21,8.5,69.74,-6.64,-5.78,1005.98
2017,1,11,7,32.14,53.81,290.41,8.63,69.9,-6.78,-5.29,1005.68
2017,1,11,8,32.84,50.68,290.26,8.73,71.4,-7.04,-5.28,1005.76
2017,1,11,9,34,44.01,289.77,8.77,73.93,-6.97,-5.4,1005.84
2017,1,11,10,37.68,33.02,289,8.73,77.35,-7.17,-5.77,1006.1
2017,1,11,11,39.78,27.31,288.36,8.64,79.77,-7.32,-6.47,1006.29
2017,1,11,12,40.16,25.22,287.89,8.53,81.22,-7.23,-7.26,1006.41
2017,1,11,13,39.39,26.68,287.48,8.4,82.2,-6.81,-7.83,1006.45
2017,1,11,14,38.02,28.59,287.17,8.28,82.63,-6.23,-7.9,1006.23
2017,1,11,15,36.53,29.17,286.98,8.18,82.61,-5.68,-7.78,1006.12
2017,1,11,16,35.3,29.4,286.85,8.11,82.6,-5.1,-7.63,1005.94
2017,1,11,17,34.42,29.19,286.79,8.09,82.7,-4.49,-7.4,1005.8
2017,1,11,18,33.75,28.79,286.76,8.09,82.91,-3.96,-7.11,1005.63
2017,1,11,19,32.87,28.52,286.77,8.12,83.05,-3.58,-6.84,1005.37
2017,1,11,20,31.94,28.23,286.86,8.17,83.08,-3.4,-6.71,1005.39
2017,1,11,21,30.93,27.92,286.93,8.21,83.08,-3.34,-6.72,1005.34
2017,1,11,22,30.58,27.58,286.99,8.24,83.03,-3.25,-6.81,1005.32
2017,1,11,23,31.92,26.28,287.02,8.26,83.06,-3.11,-6.9,1005.29
2017,1,11,24,32.25,25.52,287.31,8.38,82.71,-2.76,-5.81,1005.24
2017,1,12,1,24.75,28.68,289.04,9.12,80.78,-2.46,-4.1,1008.31
2017,1,12,2,23.42,29.92,289.16,9.08,79.51,-2.96,-4.16,1004.04
2017,1,12,3,22.86,31.87,289.68,9.12,77.24,-3.32,-4.21,1004.41
2017,1,12,4,23.02,33.86,290.08,9.22,76.02,-3.46,-3.92,1003.27
2017,1,12,5,23.48,35.47,290.45,9.31,75.06,-3.56,-3.49,1002.88
2017,1,12,6,23.86,36.84,290.61,9.4,74.94,-3.54,-3.12,1002.15
2017,1,12,7,24.29,36.76,290.57,9.45,75.51,-3.51,-2.92,1001.86
2017,1,12,8,25.18,35.13,290.38,9.48,76.66,-3.62,-3.07,1002.08
2017,1,12,9,27.38,31.25,290.06,9.48,78.28,-3.77,-3.5,1002.27
2017,1,12,10,32.93,21.81,289.6,9.44,80.24,-3.87,-3.94,1002.61
2017,1,12,11,38.52,16.81,289.11,9.36,82.06,-3.93,-4.58,1003.03
2017,1,12,12,43.11,14.28,288.66,9.28,83.75,-3.77,-5.15,1003.29
2017,1,12,13,45.1,14.94,288.34,9.19,84.75,-3.47,-5.53,1003.31
2017,1,12,14,44.82,17.15,288.05,9.08,85.19,-3.17,-5.75,1002.86
2017,1,12,15,42.41,17.88,287.83,8.97,85.38,-2.98,-5.85,1002.68
2017,1,12,16,38.57,18.19,287.61,8.9,85.94,-2.96,-5.91,1002.47
2017,1,12,17,34.45,18.42,287.39,8.87,86.85,-3.02,-5.92,1002.24
2017,1,12,18,31.06,18.51,287.1,8.86,88.39,-3.02,-6,1002.01
2017,1,12,19,28.73,18.3,286.86,8.82,89.42,-3.11,-6.02,1001.91
2017,1,12,20,26.82,17.72,286.71,8.79,90,-3.12,-5.98,1002.35
2017,1,12,21,24.78,17.17,286.61,8.75,90.19,-3.01,-5.85,1002.58
2017,1,12,22,23.25,16.5,286.52,8.66,89.77,-2.91,-5.73,1002.83
2017,1,12,23,22.64,14.76,286.49,8.55,88.83,-2.82,-5.62,1003.04
2017,1,12,24,21.99,14.36,286.65,8.47,87.08,-2.69,-5.35,1003.21
2017,1,13,1,24.59,15.26,287.49,8.89,86.76,-2.15,-3.85,1004.8
2017,1,13,2,27.36,19.79,287.75,8.77,83.88,-2.82,-4.04,1001.71
2017,1,13,3,29.8,26.04,288.34,8.73,80.46,-3.46,-4.07,1003.16
2017,1,13,4,32.65,32.51,288.56,8.72,79.17,-3.97,-4.02,1001.91
2017,1,13,5,35.85,38.23,288.55,8.68,78.89,-4.49,-4.08,1001.95
2017,1,13,6,38.87,42.21,288.3,8.6,79.38,-4.96,-4.21,1001.52
2017,1,13,7,41.72,43.75,288.05,8.53,80.03,-5.28,-4.41,1001.6
2017,1,13,8,43.76,43.15,287.74,8.44,80.81,-5.56,-4.74,1001.98
2017,1,13,9,45.25,39.87,287.32,8.32,81.87,-5.69,-5.07,1002.23
2017,1,13,10,47.39,32.44,286.82,8.18,83.27,-5.67,-5.23,1002.66
2017,1,13,11,47.31,29.13,286.37,8.03,84.24,-5.84,-5.68,1003.03
2017,1,13,12,45.4,27.88,286.04,7.88,84.44,-5.88,-6.2,1003.32
2017,1,13,13,41.2,28.69,285.76,7.75,84.58,-5.86,-6.71,1003.51
2017,1,13,14,35.75,30.72,285.5,7.6,84.47,-5.84,-7.21,1003.55
2017,1,13,15,31.26,31.69,285.34,7.46,83.86,-5.81,-7.66,1003.73
2017,1,13,16,27.65,32.62,285.22,7.34,83.21,-5.71,-8.01,1003.87
2017,1,13,17,24.7,34.23,285.14,7.22,82.25,-5.62,-8.09,1003.99
2017,1,13,18,22.89,35.99,285.01,7.12,81.78,-5.55,-8.2,1004.1
2017,1,13,19,22.05,38.14,284.93,7.03,81.22,-5.7,-8.34,1004.33
2017,1,13,20,21.99,39.54,284.82,6.96,81.05,-5.93,-8.43,1004.95
2017,1,13,21,22.64,39.53,284.54,6.92,82.14,-5.95,-8.55,1005.41
2017,1,13,22,24,39.29,284.32,6.86,82.61,-5.96,-8.81,1005.87
2017,1,13,23,27.16,38.45,284.2,6.78,82.46,-6.14,-9.06,1006.3
2017,1,13,24,31.54,39.37,284.4,6.76,81.11,-6.8,-9.07,1006.76
2017,1,14,1,35.38,40.26,285.39,6.89,77.61,-5.9,-7.81,1010.52
2017,1,14,2,39.9,42.64,285.08,6.57,75.2,-8.15,-8.12,1005.99
2017,1,14,3,46,46.01,285.58,6.58,72.89,-8.29,-7.98,1006.59
2017,1,14,4,50.82,50.59,286.14,6.66,71.09,-8.11,-7.62,1005.54
2017,1,14,5,52.81,54.84,286.64,6.75,69.66,-8.08,-7.12,1005.27
